ticker,buy_date,sell_date,entry_price,exit_price,pct_change,label
WANT,2025-03-21T13:28:54.500119,2025-03-21T16:20:08.020485,34.4,35.0,0.0174,WIN
BLNE,2025-03-24T13:31:32.399858,2025-03-24T13:31:34.579553,1.87,1.87,0.0,NEUTRAL
MCVT,2025-03-22T01:47:35.192899,2025-03-24T13:31:38.778086,1.8,1.81,0.0056,NEUTRAL
MCVT,2025-03-23T21:31:24.503846,2025-03-24T13:44:35.010922,1.8,1.81,0.0056,NEUTRAL
CULP,2025-03-22T01:47:29.654845,2025-03-24T13:48:04.499272,5.37,5.305,-0.0121,LOSS
BLNE,2025-03-24T13:36:13.710555,2025-03-24T13:51:02.998738,1.84,1.83,-0.0054,NEUTRAL
MCVT,2025-03-24T00:47:19.428199,2025-03-24T13:52:30.138889,1.8,1.81,0.0056,NEUTRAL
EONR,2025-03-22T01:47:28.496275,2025-03-24T13:55:23.969530,0.616,0.5707,-0.0735,LOSS
MCVT,2025-03-24T01:22:42.649822,2025-03-24T13:55:26.140863,1.8,1.81,0.0056,NEUTRAL
RCG,2025-03-23T21:31:10.434119,2025-03-24T13:57:09.969587,2.3,2.55,0.1087,WIN
BLNE,2025-03-24T13:52:23.734361,2025-03-24T14:03:03.149309,1.8293,1.8488,0.0107,WIN
RCG,2025-03-24T00:47:15.057621,2025-03-24T14:11:21.188452,2.3,2.45,0.0652,WIN
BLNE,2025-03-24T13:55:18.634098,2025-03-24T14:21:02.772527,1.805,1.8,-0.0028,NEUTRAL
RCG,2025-03-24T01:22:38.312187,2025-03-24T14:49:09.407423,2.3,2.45,0.0652,WIN
BLNE,2025-03-24T14:11:12.601023,2025-03-24T14:55:03.046088,1.825,1.785,-0.0219,LOSS
EONR,2025-03-23T18:47:24.784014,2025-03-24T15:06:06.914709,0.616,0.5901,-0.042,LOSS
TREE,2025-03-22T01:47:27.378179,2025-03-24T15:06:13.454441,51.68,55.53,0.0745,WIN
VG,2025-03-23T21:13:25.484390,2025-03-24T15:06:15.593884,11.61,11.365,-0.0211,LOSS
RCG,2025-03-24T01:55:47.718634,2025-03-24T15:26:28.815787,2.3,2.45,0.0652,WIN
BLNE,2025-03-24T14:48:58.332848,2025-03-24T15:30:03.082654,1.8184,1.7098,-0.0597,LOSS
EONR,2025-03-23T19:29:26.882110,2025-03-24T15:36:06.733817,0.616,0.58,-0.0584,LOSS
CULP,2025-03-23T18:47:25.893231,2025-03-24T15:51:04.700426,5.37,5.15,-0.041,LOSS
TTSH,2025-03-23T21:31:19.130093,2025-03-24T16:00:11.496399,6.51,6.67,0.0246,WIN
TTSH,2025-03-24T13:31:30.208300,2025-03-25T09:29:11.706343,6.52,6.67,0.023,WIN
MCVT,2025-03-24T01:55:52.074003,2025-03-25T10:00:06.466623,1.8,1.81,0.0056,NEUTRAL
VG,2025-03-23T21:31:11.509271,2025-03-25T10:00:11.895069,11.61,11.83,0.0189,WIN
CUBA,2025-03-22T01:47:30.793509,2025-03-25T10:54:02.905182,2.69,2.66,-0.0112,LOSS
NL,2025-03-22T01:47:37.546380,2025-03-25T11:57:05.181169,7.65,7.93,0.0366,WIN
PESI,2025-03-24T15:26:18.087297,2025-03-25T12:45:05.466106,7.49,7.65,0.0214,WIN
WEST,2025-03-22T01:47:34.089461,2025-03-25T13:03:07.852566,6.89,7.14,0.0363,WIN
KRO,2025-03-23T19:29:36.722294,2025-03-25T13:30:04.101752,7.71,7.69,-0.0026,NEUTRAL
CULP,2025-03-23T19:29:27.978379,2025-03-26T13:10:59.363416,5.37,5.27,-0.0186,LOSS
MCVT,2025-03-24T13:31:24.534846,2025-03-26T13:11:02.550352,1.81,1.8205,0.0058,NEUTRAL
CULP,2025-03-23T21:13:29.949236,2025-03-26T13:13:39.033313,5.37,5.27,-0.0186,LOSS
MCVT,2025-03-24T13:36:11.569020,2025-03-26T13:13:42.247894,1.83,1.8205,-0.0052,NEUTRAL
BLNE,2025-03-24T15:26:16.963481,2025-03-26T13:21:03.837813,1.73,2.198,0.2705,WIN
EONR,2025-03-23T21:31:16.998299,2025-03-26T13:24:04.190803,0.616,0.518,-0.1591,LOSS
PESI,2025-03-25T13:51:10.504631,2025-03-26T13:45:04.921889,7.5,7.47,-0.004,NEUTRAL
WEST,2025-03-23T19:29:32.348521,2025-03-26T14:03:07.186364,6.89,7.06,0.0247,WIN
FLWS,2025-03-25T04:07:31.780564,2025-03-26T14:18:04.138675,6.02,5.95,-0.0116,LOSS
RCG,2025-03-24T01:57:25.756190,2025-03-26T15:21:05.203921,2.3,2.595,0.1283,WIN
BLNE,2025-03-25T04:07:30.676104,2025-03-27T13:01:24.731556,1.67,2.14,0.2814,WIN
PSEC,2025-03-23T21:13:28.837091,2025-03-27T13:01:30.018097,4.22,4.1701,-0.0118,LOSS
RCG,2025-03-24T13:31:19.067333,2025-03-27T13:01:31.134551,2.5699,2.52,-0.0194,LOSS
EONR,2025-03-24T00:47:11.799794,2025-03-27T13:15:23.788490,0.616,0.541,-0.1218,LOSS
RCG,2025-03-24T13:55:10.034158,2025-03-27T13:15:30.422077,2.5699,2.52,-0.0194,LOSS
EONR,2025-03-24T01:22:35.047824,2025-03-27T13:21:11.561412,0.616,0.541,-0.1218,LOSS
RCG,2025-03-24T14:11:07.275137,2025-03-27T13:21:18.007379,2.45,2.52,0.0286,WIN
BLNE,2025-03-25T13:51:03.876705,2025-03-27T13:38:33.315703,1.92,2.07,0.0781,WIN
MKZR,2025-03-27T13:01:16.930904,2025-03-27T13:38:36.613140,1.62,1.6,-0.0123,LOSS
RCG,2025-03-24T14:48:57.256170,2025-03-27T13:38:40.947016,2.45,2.52,0.0286,WIN
BLNE,2025-03-25T16:19:34.404510,2025-03-27T13:56:22.497497,1.88,2.1,0.117,WIN
EONR,2025-03-24T01:55:44.464495,2025-03-27T13:56:23.622483,0.616,0.5352,-0.1312,LOSS
MKZR,2025-03-27T13:56:18.136859,2025-03-27T13:56:25.780643,1.6,1.6,0.0,NEUTRAL
RCG,2025-03-24T15:26:14.822106,2025-03-27T13:56:30.202719,2.45,2.52,0.0286,WIN
BLNE,2025-03-25T16:29:11.308792,2025-03-27T14:06:32.681515,1.88,2.05,0.0904,WIN
RCG,2025-03-25T04:07:26.433433,2025-03-27T14:06:40.111858,2.53,2.52,-0.004,NEUTRAL
EONR,2025-03-24T01:57:22.502693,2025-03-27T14:49:35.803546,0.616,0.5292,-0.1409,LOSS
PESI,2025-03-26T05:22:46.502682,2025-03-27T14:49:40.126382,7.5,8.12,0.0827,WIN
RCG,2025-03-25T13:51:02.782644,2025-03-27T14:49:42.339638,2.61,2.52,-0.0345,LOSS
BLNE,2025-03-25T22:07:31.193051,2025-03-27T15:43:05.667416,1.88,1.995,0.0612,WIN
MKZR,2025-03-27T14:06:28.320745,2025-03-27T15:43:08.853239,1.6,1.56,-0.025,LOSS
RCG,2025-03-25T16:19:36.608678,2025-03-27T15:43:12.115156,2.61,2.52,-0.0345,LOSS
WEST,2025-03-23T21:13:27.683025,2025-03-28T00:45:47.308788,6.89,7.25,0.0522,WIN
