timestamp,action,ticker,option_type,strike,expiration,contracts,price,reason,pnl_pct,outcome
2025-03-23T22:53:24.784921,SELL,GRMN,CALL,210,2025-03-28,23,209.86,Take Profit,,
2025-03-23T22:53:24.791821,SELL,HE,CALL,10,2025-03-28,454,10.95,Take Profit,,
2025-03-23T22:53:24.798838,SELL,AMP,CALL,495,2025-03-28,10,492.54,Take Profit,,
2025-03-23T22:53:24.805499,SELL,BRK.B,CALL,520,2025-03-28,9,521.51,Take Profit,,
2025-03-23T22:53:24.812090,SELL,COR,CALL,265,2025-03-28,18,267.33,Take Profit,,
2025-03-23T22:53:24.817151,SELL,AZO,CALL,3605,2025-03-28,1,3605.71,Take Profit,,
2025-03-23T22:53:24.822286,SELL,MCD,CALL,305,2025-03-28,16,305.48,Take Profit,,
2025-03-23T22:53:24.827416,SELL,WMB,CALL,60,2025-03-28,83,59.58,Take Profit,,
2025-03-23T22:53:24.832620,SELL,AZO,CALL,3605,2025-03-28,1,3605.71,Take Profit,,
2025-03-23T22:53:24.838670,SELL,BABA,CALL,135,2025-03-28,36,135.19,Take Profit,,
2025-03-23T22:53:24.845331,SELL,WMB,CALL,60,2025-03-28,83,59.58,Take Profit,,
2025-03-23T22:53:24.851459,SELL,SWTX,CALL,50,2025-03-28,100,49.92,Take Profit,,
2025-03-23T22:53:24.858202,SELL,BABA,CALL,135,2025-03-28,36,135.19,Take Profit,,
2025-03-23T22:53:24.864576,SELL,GRMN,CALL,210,2025-03-28,23,209.86,Take Profit,,
2025-03-23T22:53:24.870543,SELL,HE,CALL,10,2025-03-28,454,10.95,Take Profit,,
2025-03-23T22:53:24.875522,SELL,AMP,CALL,495,2025-03-28,10,492.54,Take Profit,,
2025-03-23T22:53:24.880366,SELL,BRK.B,CALL,520,2025-03-28,9,521.51,Take Profit,,
2025-03-23T22:53:24.887002,SELL,COR,CALL,265,2025-03-28,18,267.33,Take Profit,,
2025-03-23T22:53:24.893558,SELL,AZO,CALL,3605,2025-03-28,1,3605.71,Take Profit,,
2025-03-23T22:53:24.900411,SELL,MCD,CALL,305,2025-03-28,16,305.48,Take Profit,,
2025-03-23T22:53:24.906178,SELL,WMB,CALL,60,2025-03-28,83,59.58,Take Profit,,
2025-03-23T22:53:24.911341,SELL,AZO,CALL,3605,2025-03-28,1,3605.71,Take Profit,,
2025-03-23T22:53:24.918189,SELL,BABA,CALL,135,2025-03-28,36,135.19,Take Profit,,
2025-03-23T22:53:24.924909,SELL,WMB,CALL,60,2025-03-28,83,59.58,Take Profit,,
2025-03-23T22:53:24.930881,SELL,SWTX,CALL,50,2025-03-28,100,49.92,Take Profit,,
2025-03-23T22:53:24.937462,SELL,BABA,CALL,135,2025-03-28,36,135.19,Take Profit,,
2025-03-23T22:53:24.943314,SELL,ACN,CALL,305,2025-03-28,16,305.59,Take Profit,,
2025-03-23T22:53:24.949936,SELL,BAER,CALL,0,2025-03-28,3571,1.41,Take Profit,,
2025-03-23T22:53:24.954988,SELL,VSAT,CALL,10,2025-03-28,510,9.795,Take Profit,,
2025-03-23T22:53:24.961244,SELL,EE,CALL,30,2025-03-28,171,29.15,Take Profit,,
2025-03-23T22:53:24.967859,SELL,CDW,CALL,165,2025-03-28,30,165.67,Take Profit,,
2025-03-23T22:53:24.974624,SELL,HLMN,CALL,10,2025-03-28,555,8.99,Take Profit,,
2025-03-23T22:53:24.980425,SELL,STRL,CALL,125,2025-03-28,39,126.68,Take Profit,,
2025-03-23T22:53:24.986558,SELL,LH,CALL,235,2025-03-28,21,233.72,Take Profit,,
2025-03-23T22:53:24.991974,SELL,CPAY,CALL,345,2025-03-28,14,346.57,Take Profit,,
2025-03-23T22:53:24.999102,SELL,V,CALL,335,2025-03-28,14,335.8,Take Profit,,
2025-03-23T22:53:25.006489,SELL,CACI,CALL,365,2025-03-28,13,366.17,Take Profit,,
2025-03-23T22:53:25.013426,SELL,PAYX,CALL,145,2025-03-28,34,143.01,Take Profit,,
2025-03-23T22:53:25.020272,SELL,LH,CALL,235,2025-03-28,21,233.72,Take Profit,,
2025-03-23T22:53:25.026938,SELL,EPAC,CALL,40,2025-03-28,119,42.095,Take Profit,,
2025-03-23T22:53:25.033237,SELL,UBER,CALL,75,2025-03-28,65,75.87,Take Profit,,
2025-03-23T22:53:25.039251,SELL,DG,CALL,85,2025-03-28,59,83.66,Take Profit,,
2025-03-23T22:53:25.044440,SELL,AMP,CALL,495,2025-03-28,10,492.54,Take Profit,,
