ticker,representative,transaction_type,transaction_date,price_change
BX,Marjorie Taylor Greene,Purchase,2025-03-17,34.51
ABBV,Marjorie Taylor Greene,Purchase,2025-03-17,-207.95
AAPL,Marjorie Taylor Greene,Purchase,2025-03-17,199.53
KMI,Marjorie Taylor Greene,Purchase,2025-03-17,50.38
NVDA,Marjorie Taylor Greene,Purchase,2025-03-17,-153.1
CAT,Marjorie Taylor Greene,Purchase,2025-03-17,-200.21
GOOG,Marjorie Taylor Greene,Purchase,2025-03-17,-19.21
CAH,Marjorie Taylor Greene,Purchase,2025-03-17,143.04
AMAT,Marjorie Taylor Greene,Purchase,2025-03-17,-214.85
UPS,Marjorie Taylor Greene,Purchase,2025-03-17,-250.72
DLR,Marjorie Taylor Greene,Purchase,2025-03-17,-96.81
FLL,Susie Lee,Sale,2025-03-12,118.2
CRWD,Marjorie Taylor Greene,Purchase,2025-03-07,861.77
GS,Marjorie Taylor Greene,Purchase,2025-03-07,97.74
UBS,Mikie Sherrill,Sale,2025-03-07,-412.88
DG,Marjorie Taylor Greene,Purchase,2025-03-07,222.39
TSLA,Marjorie Taylor Greene,Purchase,2025-03-07,-531.47
BRK.B,Eleanor Holmes Norton,Sale,2025-03-05,469.61
HLMN,Gilbert Cisneros,Purchase,2025-03-03,-487.29
STRL,Gilbert Cisneros,Purchase,2025-03-03,416.22
DG,Marjorie Taylor Greene,Purchase,2025-03-03,1637.22
IBIT,Marjorie Taylor Greene,Purchase,2025-03-03,-245.4
WFC,A. Mitchell Jr. McConnell,Purchase,2025-03-03,-585.49
PI,Marjorie Taylor Greene,Purchase,2025-03-03,287.24
NGL,Mark Dr Green,Sale,2025-02-28,-351.97
GS,Josh Gottheimer,Sale,2025-02-28,-918.38
TPX,April Mcclain Delaney,Sale,2025-02-28,
LH,April Mcclain Delaney,Purchase,2025-02-28,-670.41
CPAY,April Mcclain Delaney,Purchase,2025-02-28,-554.69
RVTY,April Mcclain Delaney,Sale,2025-02-28,-433.35
V,Josh Gottheimer,Purchase,2025-02-28,-745.77
XYZ,Josh Gottheimer,Sale,2025-02-27,-493.15
LH,April Mcclain Delaney,Purchase,2025-02-27,-548.04
PAYX,April Mcclain Delaney,Purchase,2025-02-27,-385.86
CACI,April Mcclain Delaney,Purchase,2025-02-27,908.44
FNA,Josh Gottheimer,Sale,2025-02-27,15.4
KKR,Josh Gottheimer,Sale,2025-02-27,-1187.59
BX,Josh Gottheimer,Sale,2025-02-27,-578.18
UNH,Gilbert Cisneros,Sale,2025-02-26,1148.86
AKAM,Gilbert Cisneros,Sale,2025-02-26,183.46
