representative,ticker,transaction_date,transaction_type,range,price_change
Marjorie Taylor Greene,BX,2025-03-17,Purchase,"$1,001 - $15,000",0.345107592367026
Marjorie Taylor Greene,ABBV,2025-03-17,Purchase,"$1,001 - $15,000",-2.0795449246981
Marjorie Taylor Greene,AAPL,2025-03-17,Purchase,"$1,001 - $15,000",1.99532710280374
Marjorie Taylor Greene,KMI,2025-03-17,Purchase,"$1,001 - $15,000",0.503778337531488
Marjorie Taylor Greene,NVDA,2025-03-17,Purchase,"$1,001 - $15,000",-1.53099640257676
Marjorie Taylor Greene,CAT,2025-03-17,Purchase,"$1,001 - $15,000",-2.00210133084287
Marjorie Taylor Greene,GOOG,2025-03-17,Purchase,"$1,001 - $15,000",-0.192111424626279
Marjorie Taylor Greene,CAH,2025-03-17,Purchase,"$1,001 - $15,000",1.43043912943166
Marjorie Taylor Greene,AMAT,2025-03-17,Purchase,"$1,001 - $15,000",-2.14846262704233
Marjorie Taylor Greene,UPS,2025-03-17,Purchase,"$1,001 - $15,000",-2.50719972895139
Marjorie Taylor Greene,DLR,2025-03-17,Purchase,"$1,001 - $15,000",-0.968060586104708
Susie Lee,FLL,2025-03-12,Sale,"$15,001 - $50,000",1.18203309692671
Marjorie Taylor Greene,CRWD,2025-03-07,Purchase,"$1,001 - $15,000",8.61769115442279
Marjorie Taylor Greene,GS,2025-03-07,Purchase,"$1,001 - $15,000",0.977361659549382
Mikie Sherrill,UBS,2025-03-07,Sale,"$250,001 - $500,000",-4.12884333821375
Marjorie Taylor Greene,DG,2025-03-07,Purchase,"$1,001 - $15,000",2.2238514173998
Marjorie Taylor Greene,TSLA,2025-03-07,Purchase,"$1,001 - $15,000",-5.31465336734306
Eleanor Holmes Norton,BRK.B,2025-03-05,Sale,"$15,001 - $50,000",4.69608826479438
Gilbert Cisneros,HLMN,2025-03-03,Purchase,"$1,001 - $15,000",-4.87288135593219
Gilbert Cisneros,STRL,2025-03-03,Purchase,"$1,001 - $15,000",4.16221107181048
Marjorie Taylor Greene,DG,2025-03-03,Purchase,"$1,001 - $15,000",16.3722353595771
Marjorie Taylor Greene,IBIT,2025-03-03,Purchase,"$15,001 - $50,000",-2.45398773006134
A. Mitchell Jr. McConnell,WFC,2025-03-03,Purchase,"$1,001 - $15,000",-5.85486174217838
Marjorie Taylor Greene,PI,2025-03-03,Purchase,"$1,001 - $15,000",2.87244956115353
Mark Dr Green,NGL,2025-02-28,Sale,"$15,001 - $50,000",-3.51966873706004
Josh Gottheimer,GS,2025-02-28,Sale,"$1,001 - $15,000",-9.1838210480644
April Mcclain Delaney,TPX,2025-02-28,Sale,"$1,001 - $15,000",
April Mcclain Delaney,LH,2025-02-28,Purchase,"$1,001 - $15,000",-6.70411089866156
April Mcclain Delaney,CPAY,2025-02-28,Purchase,"$15,001 - $50,000",-5.54692821141534
April Mcclain Delaney,RVTY,2025-02-28,Sale,"$15,001 - $50,000",-4.33348194382523
Josh Gottheimer,V,2025-02-28,Purchase,"$1,001 - $15,000",-7.45774861459567
Josh Gottheimer,XYZ,2025-02-27,Sale,"$1,001 - $15,000",-4.9315494710641
April Mcclain Delaney,LH,2025-02-27,Purchase,"$1,001 - $15,000",-5.48044715283102
April Mcclain Delaney,PAYX,2025-02-27,Purchase,"$1,001 - $15,000",-3.8585641301425
April Mcclain Delaney,CACI,2025-02-27,Purchase,"$1,001 - $15,000",9.08440842594524
Josh Gottheimer,FNA,2025-02-27,Sale,"$1,001 - $15,000",0.153964588144723
Josh Gottheimer,KKR,2025-02-27,Sale,"$1,001 - $15,000",-11.875945537065
Josh Gottheimer,BX,2025-02-27,Sale,"$1,001 - $15,000",-5.78181587140225
Gilbert Cisneros,UNH,2025-02-26,Sale,"$15,001 - $50,000",11.4885998403762
Gilbert Cisneros,AKAM,2025-02-26,Sale,"$1,001 - $15,000",1.83463181703947
John Boozman,ECL,2025-02-26,Purchase,"$1,001 - $15,000",-5.80553157953992
Greg Landsman,AMP,2025-02-26,Purchase,"$1,001 - $15,000",-6.2120433300969
John Boozman,AXP,2025-02-26,Purchase,"$1,001 - $15,000",-8.64235055724418
Gilbert Cisneros,EPAC,2025-02-26,Purchase,"$1,001 - $15,000",-6.97930427124615
Josh Gottheimer,KKR,2025-02-26,Sale,"$1,001 - $15,000",-12.1947542960507
Gilbert Cisneros,WBA,2025-02-26,Sale,"$1,001 - $15,000",0.54347826086957
David H. McCormick,BITB,2025-02-26,Purchase,"$15,001 - $50,000",-0.457616038352584
Gilbert Cisneros,UBER,2025-02-26,Purchase,"$1,001 - $15,000",-0.0395413206801122
Gilbert Cisneros,DG,2025-02-26,Purchase,"$1,001 - $15,000",12.7645235206901
Greg Landsman,PH,2025-02-26,Sale,"$1,001 - $15,000",-5.8266095460119
Gilbert Cisneros,CDNS,2025-02-26,Sale,"$1,001 - $15,000",3.33937150507995
Josh Gottheimer,FI,2025-02-26,Purchase,"$1,001 - $15,000",-5.05855208741457
John Boozman,LITP,2025-02-26,Purchase,"$1,001 - $15,000",0.947867298578193
Gilbert Cisneros,F,2025-02-26,Sale,"$1,001 - $15,000",5.59662090813093
John Boozman,FTGC,2025-02-26,Sale (Partial),"$1,001 - $15,000",0.996810207336523
Greg Landsman,COST,2025-02-26,Sale,"$1,001 - $15,000",-11.8908495401998
Gilbert Cisneros,HUM,2025-02-26,Purchase,"$1,001 - $15,000",4.35174657937038
Greg Landsman,NVDA,2025-02-26,Sale,"$1,001 - $15,000",-10.3443022547227
Greg Landsman,CRWD,2025-02-26,Purchase,"$1,001 - $15,000",-8.19140308191403
Scott Scott Franklin,AMZN,2025-02-26,Purchase,"$50,001 - $100,000",-8.46279449498483
Gilbert Cisneros,ANSS,2025-02-26,Sale,"$1,001 - $15,000",-2.4434280211844
Scott Scott Franklin,AMZN,2025-02-26,Purchase,"$1,001 - $15,000",-8.46279449498483
Thomas H. Kean Jr,AMZN,2025-02-26,Purchase,"$1,001 - $15,000",-8.46279449498483
Scott Scott Franklin,AMZN,2025-02-26,Purchase,"$1,001 - $15,000",-8.46279449498483
John Boozman,TBLL,2025-02-26,Purchase,"$1,001 - $15,000",0.298592350348356
Josh Gottheimer,BX,2025-02-26,Sale,"$1,001 - $15,000",-7.00489150884235
Gilbert Cisneros,DHR,2025-02-26,Sale,"$1,001 - $15,000",0.916730328495042
Gilbert Cisneros,WYNN,2025-02-26,Purchase,"$1,001 - $15,000",-9.29747530186608
John Boozman,NVDA,2025-02-26,Purchase,"$1,001 - $15,000",-10.3443022547227
Gilbert Cisneros,PCG,2025-02-26,Sale,"$1,001 - $15,000",5.23690773067332
Thomas H. Kean Jr,SYK,2025-02-26,Sale,"$15,001 - $50,000",-5.26624802164701
Gilbert Cisneros,TSLA,2025-02-26,Purchase,"$1,001 - $15,000",-14.4738651994498
John Boozman,AMZN,2025-02-26,Purchase,"$1,001 - $15,000",-8.46279449498483
Greg Landsman,AMZN,2025-02-26,Sale,"$1,001 - $15,000",-8.46279449498483
John Boozman,EMLP,2025-02-26,Sale (Partial),"$1,001 - $15,000",0.781460522770141
Gilbert Cisneros,ALGN,2025-02-26,Sale,"$1,001 - $15,000",-11.8194655091261
Gilbert Cisneros,LUV,2025-02-26,Sale,"$1,001 - $15,000",13.4897360703812
Gilbert Cisneros,MSFT,2025-02-26,Purchase,"$15,001 - $50,000",-2.11893027793761
Gilbert Cisneros,MRK,2025-02-26,Purchase,"$15,001 - $50,000",4.17319310807787
Gilbert Cisneros,GM,2025-02-26,Sale,"$1,001 - $15,000",2.76516714816343
John Boozman,IVW,2025-02-26,Sale (Partial),"$1,001 - $15,000",-6.96010195078915
Gilbert Cisneros,CMG,2025-02-26,Sale,"$1,001 - $15,000",-9.15387495320105
John Boozman,MSI,2025-02-26,Purchase,"$1,001 - $15,000",-0.835151429844935
Gilbert Cisneros,PFE,2025-02-26,Purchase,"$1,001 - $15,000",-0.529901589704771
David H. McCormick,BITB,2025-02-25,Purchase,"$50,001 - $100,000",-4.67445742904842
John Boozman,URNM,2025-02-25,Purchase,"$1,001 - $15,000",0.424929178470271
Josh Gottheimer,VRT,2025-02-25,Sale,"$1,001 - $15,000",-3.55821545157781
Julie Johnson,NSC,2025-02-25,Sale,"$1,001 - $15,000",-5.44675642594859
Julie Johnson,UNP,2025-02-25,Purchase,"$1,001 - $15,000",-4.88429785676522
Jefferson Shreve,RTX,2025-02-24,Purchase,"$15,001 - $50,000",5.5329665949135
Shelley Moore Capito,ACN,2025-02-24,Sale (Partial),"$1,001 - $15,000",-16.1001346486769
Jefferson Shreve,UNP,2025-02-24,Purchase,"$15,001 - $50,000",-3.48698056369414
Jefferson Shreve,HOPE,2025-02-24,Sale,"$15,001 - $50,000",-2.97121634168988
Josh Gottheimer,AAPL,2025-02-24,Sale,"$1,001 - $15,000",-11.6673411574261
Jefferson Shreve,MSFT,2025-02-24,Sale,"$50,001 - $100,000",-3.15346534653466
Jefferson Shreve,PLD,2025-02-24,Purchase,"$15,001 - $50,000",-10.1963058063447
Jefferson Shreve,HOG,2025-02-24,Sale,"$15,001 - $50,000",-6.68429003021148
Jefferson Shreve,NSC,2025-02-24,Sale,"$15,001 - $50,000",-5.05940188447357
Gilbert Cisneros,WTW,2025-02-24,Purchase,"$1,001 - $15,000",1.37416209628275
Julie Johnson,BK,2025-02-24,Purchase,"$1,001 - $15,000",-5.06760595386889
Jefferson Shreve,NVDA,2025-02-24,Purchase,"$15,001 - $50,000",-9.65612526865213
Josh Gottheimer,HD,2025-02-24,Sale,"$1,001 - $15,000",-8.17687359447729
Jefferson Shreve,IEX,2025-02-24,Sale,"$15,001 - $50,000",-7.48143627301394
Julie Johnson,GS,2025-02-24,Purchase,"$1,001 - $15,000",-9.74223017216597
Julie Johnson,BLK,2025-02-24,Sale,"$1,001 - $15,000",-0.112300587741387
Jefferson Shreve,CI,2025-02-24,Purchase,"$15,001 - $50,000",5.19234602352003
Jefferson Shreve,MSTR,2025-02-24,Purchase,"$15,001 - $50,000",7.5116706747772
Gilbert Cisneros,BSX,2025-02-24,Sale,"$1,001 - $15,000",-3.54440080467478
Jefferson Shreve,INTU,2025-02-24,Sale,"$15,001 - $50,000",6.4875537691277
Jefferson Shreve,TJX,2025-02-24,Sale,"$15,001 - $50,000",-4.40437968222606
Jefferson Shreve,QCOM,2025-02-24,Purchase,"$15,001 - $50,000",-2.65673494723774
Julie Johnson,PGR,2025-02-24,Purchase,"$1,001 - $15,000",0.0843634229541937
Jefferson Shreve,JNJ,2025-02-24,Purchase,"$15,001 - $50,000",-0.0671796750946706
Jefferson Shreve,AVGO,2025-02-24,Purchase,"$100,001 - $250,000",-7.82474871350936
Jefferson Shreve,OXY,2025-02-24,Purchase,"$15,001 - $50,000",-3.85078219013237
Jefferson Shreve,ORCL,2025-02-24,Purchase,"$15,001 - $50,000",-10.4318663214874
Jefferson Shreve,SNDK,2025-02-24,Exchange,"$1,001 - $15,000",11.0288065843621
Jefferson Shreve,GE,2025-02-24,Purchase,"$50,001 - $100,000",2.72759297468672
Jefferson Shreve,APD,2025-02-24,Purchase,"$15,001 - $50,000",-5.73386340864282
Jefferson Shreve,AMGN,2025-02-24,Purchase,"$15,001 - $50,000",2.0405527573292
Jefferson Shreve,RPD,2025-02-24,Sale,"$15,001 - $50,000",-10.133418043202
Jefferson Shreve,ADBE,2025-02-24,Purchase,"$15,001 - $50,000",-12.8617073939067
Jefferson Shreve,HUBB,2025-02-24,Sale,"$15,001 - $50,000",-8.36560595802302
Jefferson Shreve,BLK,2025-02-24,Sale,"$50,001 - $100,000",-0.112300587741387
Shelley Moore Capito,CMCSA,2025-02-24,Sale (Full),"$1,001 - $15,000",1.23966942148761
Jefferson Shreve,APP,2025-02-24,Purchase,"$15,001 - $50,000",-23.4912900475088
Jefferson Shreve,LIN,2025-02-24,Sale,"$15,001 - $50,000",-0.043617647700257
Jefferson Shreve,AKAM,2025-02-24,Sale,"$15,001 - $50,000",4.36574372182872
Shelley Moore Capito,ABT,2025-02-24,Sale (Partial),"$1,001 - $15,000",-6.38014079288624
Jefferson Shreve,UPS,2025-02-24,Sale,"$15,001 - $50,000",-0.91253443526171
Jefferson Shreve,CAT,2025-02-24,Sale,"$50,001 - $100,000",-0.926472323852249
Jefferson Shreve,RGLD,2025-02-24,Purchase,"$15,001 - $50,000",3.904440473827
Jefferson Shreve,MRP,2025-02-24,Sale,"$1,001 - $15,000",9.3143596377749
