symbol,type,strike,expiration,source,timestamp,price_when_traded
GRMN,CALL,210,2025-03-28,Congress - Kathy Manning,2025-03-22T21:06:52.999053,209.86
HE,CALL,10,2025-03-28,Congress - Gilbert Cisneros,2025-03-22T21:06:53.256477,10.95
AMP,CALL,495,2025-03-28,Congress - Richard W. Allen,2025-03-22T21:06:53.513532,492.54
BRK.B,CALL,520,2025-03-28,Congress - Rob Bresnahan,2025-03-22T21:06:53.770677,521.51
COR,CALL,265,2025-03-28,Congress - Greg Landsman,2025-03-22T21:06:54.027842,267.33
AZO,CALL,3605,2025-03-28,Congress - Richard W. Allen,2025-03-22T21:06:54.284462,3605.71
MCD,CALL,305,2025-03-28,Congress - Kevin Hern,2025-03-22T21:06:54.541933,305.48
WMB,CALL,60,2025-03-28,Congress - Kevin Hern,2025-03-22T21:06:54.798583,59.58
AZO,CALL,3605,2025-03-28,Congress - Richard W. Allen,2025-03-22T21:06:55.056100,3605.71
BABA,CALL,135,2025-03-28,Congress - Rob Bresnahan,2025-03-22T21:06:55.313761,135.19
WMB,CALL,60,2025-03-28,Congress - Kevin Hern,2025-03-22T21:06:55.578871,59.58
SWTX,CALL,50,2025-03-28,Congress - Gilbert Cisneros,2025-03-22T21:06:55.835837,49.92
BABA,CALL,135,2025-03-28,Congress - Rob Bresnahan,2025-03-22T21:06:56.092891,135.19
GRMN,CALL,210,2025-03-28,23,10.49,241.27,Congress - Kathy Manning,2025-03-22T21:23:22.809122,209.86
HE,CALL,10,2025-03-28,454,0.55,249.70000000000002,Congress - Gilbert Cisneros,2025-03-22T21:23:23.064663,10.95
AMP,CALL,495,2025-03-28,10,24.63,246.29999999999998,Congress - Richard W. Allen,2025-03-22T21:23:23.321805,492.54
BRK.B,CALL,520,2025-03-28,9,26.08,234.71999999999997,Congress - Rob Bresnahan,2025-03-22T21:23:23.578523,521.51
COR,CALL,265,2025-03-28,18,13.37,240.66,Congress - Greg Landsman,2025-03-22T21:23:23.834588,267.33
AZO,CALL,3605,2025-03-28,1,180.29,180.29,Congress - Richard W. Allen,2025-03-22T21:23:24.090733,3605.71
MCD,CALL,305,2025-03-28,16,15.27,244.32,Congress - Kevin Hern,2025-03-22T21:23:24.346750,305.48
WMB,CALL,60,2025-03-28,83,2.98,247.34,Congress - Kevin Hern,2025-03-22T21:23:24.603553,59.58
AZO,CALL,3605,2025-03-28,1,180.29,180.29,Congress - Richard W. Allen,2025-03-22T21:23:24.858838,3605.71
BABA,CALL,135,2025-03-28,36,6.76,243.35999999999999,Congress - Rob Bresnahan,2025-03-22T21:23:25.116373,135.19
WMB,CALL,60,2025-03-28,83,2.98,247.34,Congress - Kevin Hern,2025-03-22T21:23:25.372687,59.58
SWTX,CALL,50,2025-03-28,100,2.5,250.0,Congress - Gilbert Cisneros,2025-03-22T21:23:25.629563,49.92
BABA,CALL,135,2025-03-28,36,6.76,243.35999999999999,Congress - Rob Bresnahan,2025-03-22T21:23:25.887414,135.19
GRMN,CALL,210,2025-03-28,23,10.49,241.27,Congress - Kathy Manning,2025-03-22T21:28:46.357761,209.86
HE,CALL,10,2025-03-28,454,0.55,249.70000000000002,Congress - Gilbert Cisneros,2025-03-22T21:28:46.613690,10.95
AMP,CALL,495,2025-03-28,10,24.63,246.29999999999998,Congress - Richard W. Allen,2025-03-22T21:28:46.871371,492.54
BRK.B,CALL,520,2025-03-28,9,26.08,234.71999999999997,Congress - Rob Bresnahan,2025-03-22T21:28:47.128253,521.51
COR,CALL,265,2025-03-28,18,13.37,240.66,Congress - Greg Landsman,2025-03-22T21:28:47.385315,267.33
AZO,CALL,3605,2025-03-28,1,180.29,180.29,Congress - Richard W. Allen,2025-03-22T21:28:47.643128,3605.71
MCD,CALL,305,2025-03-28,16,15.27,244.32,Congress - Kevin Hern,2025-03-22T21:28:47.901251,305.48
WMB,CALL,60,2025-03-28,83,2.98,247.34,Congress - Kevin Hern,2025-03-22T21:28:48.157571,59.58
AZO,CALL,3605,2025-03-28,1,180.29,180.29,Congress - Richard W. Allen,2025-03-22T21:28:48.415207,3605.71
BABA,CALL,135,2025-03-28,36,6.76,243.35999999999999,Congress - Rob Bresnahan,2025-03-22T21:28:48.671293,135.19
WMB,CALL,60,2025-03-28,83,2.98,247.34,Congress - Kevin Hern,2025-03-22T21:28:48.927131,59.58
SWTX,CALL,50,2025-03-28,100,2.5,250.0,Congress - Gilbert Cisneros,2025-03-22T21:28:49.183923,49.92
BABA,CALL,135,2025-03-28,36,6.76,243.35999999999999,Congress - Rob Bresnahan,2025-03-22T21:28:49.441470,135.19
ACN,CALL,305,2025-03-28,16,15.28,244.48,Gov Contract - Department of the Interior,2025-03-22T22:10:47.869965,305.59
BAER,CALL,0,2025-03-28,3571,0.07,249.97000000000003,Gov Contract - Department of the Interior,2025-03-22T22:10:48.127844,1.41
VSAT,CALL,10,2025-03-28,510,0.49,249.9,Gov Contract - Department of Defense,2025-03-22T22:10:48.385672,9.795
EE,CALL,30,2025-03-28,171,1.46,249.66,Gov Contract - National Aeronautics and Space Administration,2025-03-22T22:10:48.644009,29.15
CDW,CALL,165,2025-03-28,30,8.28,248.39999999999998,Gov Contract - Department of Transportation,2025-03-22T22:10:48.902559,165.67
HLMN,CALL,10,2025-03-28,555,0.45,249.75,Congress - Gilbert Cisneros,2025-03-23T03:22:09.775766,8.99
STRL,CALL,125,2025-03-28,39,6.33,246.87,Congress - Gilbert Cisneros,2025-03-23T03:22:10.033554,126.68
LH,CALL,235,2025-03-28,21,11.69,245.48999999999998,Congress - April Mcclain Delaney,2025-03-23T03:22:10.292783,233.72
CPAY,CALL,345,2025-03-28,14,17.33,242.61999999999998,Congress - April Mcclain Delaney,2025-03-23T03:22:10.550884,346.57
V,CALL,335,2025-03-28,14,16.79,235.06,Congress - Josh Gottheimer,2025-03-23T03:22:10.809153,335.8
CACI,CALL,365,2025-03-28,13,18.31,238.02999999999997,Congress - April Mcclain Delaney,2025-03-23T03:22:11.065821,366.17
PAYX,CALL,145,2025-03-28,34,7.15,243.10000000000002,Congress - April Mcclain Delaney,2025-03-23T03:22:11.324029,143.01
LH,CALL,235,2025-03-28,21,11.69,245.48999999999998,Congress - April Mcclain Delaney,2025-03-23T03:22:11.583746,233.72
