timestamp,action,ticker,shares,price,reason
2025-03-21T03:57:50.330166,BUY,ADD,425.2233,0.92,New Signal
2025-03-21T13:23:46.195229,BUY,ADD,9518.7456,0.9,New Signal
2025-03-21T13:23:58.097817,SELL,LOVE,100.2498,17.19,Stop-loss triggered
2025-03-21T13:24:00.204690,SELL,SEA,253.0,12.71,Stop-loss triggered
2025-03-21T13:24:02.397262,SELL,TSLA,10.1718,245.484,Target hit
2025-03-21T13:24:04.608303,SELL,WANT,50.5741,34.4,Stop-loss triggered
2025-03-21T13:24:05.726728,SELL,WELL,10.4076,146.95,Stop-loss triggered
2025-03-21T13:28:52.356019,BUY,TSLA,26.5361,245.35,New Signal
2025-03-21T13:28:53.416088,BUY,LOVE,379.4069,17.16,New Signal
2025-03-21T13:28:54.500119,BUY,WANT,189.2623,34.4,New Signal
2025-03-21T13:28:55.568750,BUY,SEA,512.2441,12.71,New Signal
2025-03-21T13:28:56.720024,BUY,WELL,44.373,146.725,New Signal
2025-03-21T13:29:08.514214,SELL,IBKR,9.9733,172.7,Stop-loss triggered
2025-03-21T13:31:55.716054,BUY,IBKR,19.5989,172.53,New Signal
2025-03-21T13:31:57.890680,SELL,BRO,19.5739,118.76,Stop-loss triggered
2025-03-21T13:38:49.646184,BUY,BRO,26.7493,118.81,New Signal
2025-03-21T16:19:50.663125,SELL,CRWD,4.7257,362.24,Stop-loss triggered
2025-03-21T16:19:51.968777,SELL,DAY,26.8034,58.5,Target hit
2025-03-21T16:19:59.500429,SELL,IONQ,10.0,22.26,Target hit
2025-03-21T16:20:08.020485,SELL,WANT,189.2623,35.0,Target hit
2025-03-22T01:47:25.201774,BUY,SRBK,250.9531,11.79,New Signal
2025-03-22T01:47:27.378179,BUY,TREE,57.2511,51.68,New Signal
2025-03-22T01:47:28.496275,BUY,EONR,4803.1442,0.616,New Signal
2025-03-22T01:47:29.654845,BUY,CULP,550.9752,5.37,New Signal
2025-03-22T01:47:30.793509,BUY,CUBA,1099.9021,2.69,New Signal
2025-03-22T01:47:33.002120,BUY,FCNCA,1.5983,1851.2,New Signal
2025-03-22T01:47:34.089461,BUY,WEST,429.4248,6.89,New Signal
2025-03-22T01:47:35.192899,BUY,MCVT,1643.7427,1.8,New Signal
2025-03-22T01:47:36.291170,BUY,ECAT,182.3005,16.23,New Signal
2025-03-22T01:47:37.546380,BUY,NL,386.763,7.65,New Signal
2025-03-22T01:58:34.822119,SHORT,ALHC,1,17.61,Short Signal
2025-03-22T02:03:49.093266,SHORT,ALHC,1,17.61,Short Signal
2025-03-22T02:03:56.518862,SHORT,AVAH,5,5.29,Short Signal
2025-03-22T02:04:09.706558,SHORT,GAP,1,20.02,Short Signal
2025-03-22T02:04:14.980316,SHORT,PKOH,1,22.0,Short Signal
2025-03-22T02:04:37.851153,SHORT,NN,2,11.97,Short Signal
2025-03-22T02:04:43.319702,SHORT,DFH,1,23.44,Short Signal
2025-03-22T02:04:45.492329,SHORT,WEAV,2,11.7,Short Signal
2025-03-22T02:04:47.657417,SHORT,RRGB,7,4.12,Short Signal
2025-03-22T02:04:49.812733,SHORT,CERS,19,1.53,Short Signal
2025-03-22T02:04:51.989709,SHORT,JAMF,2,13.17,Short Signal
2025-03-22T02:04:55.258581,SHORT,BLFS,1,24.99,Short Signal
2025-03-22T02:04:56.347413,SHORT,TDUP,11,2.56,Short Signal
2025-03-22T02:04:58.548395,SHORT,ACMR,1,26.87,Short Signal
2025-03-22T02:05:01.844816,SHORT,SG,1,24.94,Short Signal
2025-03-22T02:05:05.112189,SHORT,SGRY,1,24.21,Short Signal
2025-03-22T02:05:08.508644,SHORT,FTI,1,29.36,Short Signal
2025-03-22T02:05:13.722595,SHORT,ZIP,4,5.91,Short Signal
2025-03-22T02:05:14.809490,SHORT,EVER,1,28.71,Short Signal
2025-03-22T02:05:17.306432,SHORT,EVCM,2,10.08,Short Signal
2025-03-22T02:05:22.802992,SHORT,BZFD,13,2.2,Short Signal
2025-03-22T02:05:35.611302,SHORT,FNKO,4,7.3,Short Signal
2025-03-22T02:05:36.698674,SHORT,CYRX,5,5.69,Short Signal
2025-03-22T02:05:40.518720,SHORT,FWRG,1,16.34,Short Signal
2025-03-22T02:05:42.747378,SHORT,DGICA,1,18.23,Short Signal
2025-03-22T02:05:44.908979,SHORT,GO,2,12.68,Short Signal
2025-03-22T02:05:48.181319,SHORT,UTI,1,26.47,Short Signal
2025-03-22T02:05:50.397514,SHORT,CTRA,1,28.72,Short Signal
2025-03-22T02:05:51.482986,SHORT,TDOC,3,8.41,Short Signal
2025-03-22T02:05:52.570292,SHORT,UPWK,2,13.57,Short Signal
2025-03-22T02:05:53.655015,SHORT,STOK,3,8.15,Short Signal
2025-03-22T02:06:01.170646,SHORT,TSVT,5,4.95,Short Signal
2025-03-22T02:06:04.409562,SHORT,ACCD,4,7.01,Short Signal
2025-03-22T02:06:06.575293,SHORT,BBAI,9,2.97,Short Signal
2025-03-22T02:06:13.222982,SHORT,AI,1,22.62,Short Signal
2025-03-22T02:06:15.409821,SHORT,NCMI,5,5.72,Short Signal
2025-03-22T02:06:16.496246,SHORT,EOLS,2,13.03,Short Signal
2025-03-22T02:06:17.588796,SHORT,ONTF,5,5.48,Short Signal
2025-03-22T02:06:19.758383,SHORT,MDXG,3,7.94,Short Signal
2025-03-22T02:06:20.847029,SHORT,OPEN,24,1.2,Short Signal
2025-03-22T02:06:23.008432,SHORT,KNSA,1,23.36,Short Signal
2025-03-22T02:06:25.167463,SHORT,RKLB,1,18.94,Short Signal
2025-03-22T02:06:27.325209,SHORT,SNAP,3,9.33,Short Signal
2025-03-22T02:06:28.411422,SHORT,CWAN,1,26.49,Short Signal
2025-03-22T02:06:37.011196,SHORT,DJT,1,20.25,Short Signal
2025-03-22T02:06:39.227728,SHORT,GLRE,2,13.22,Short Signal
2025-03-22T02:06:43.503763,SHORT,HG,1,20.74,Short Signal
2025-03-22T02:06:44.614699,SHORT,CNTA,1,15.75,Short Signal
2025-03-22T02:06:47.924449,SHORT,ARQT,1,17.01,Short Signal
2025-03-22T02:06:50.053445,SHORT,CPNG,1,23.34,Short Signal
2025-03-22T02:06:52.213844,SHORT,RXT,15,1.87,Short Signal
2025-03-22T02:06:53.296042,SHORT,ASUR,2,10.07,Short Signal
2025-03-22T02:06:54.425495,SHORT,AMRC,2,13.41,Short Signal
2025-03-22T02:06:58.753821,SHORT,TRAK,1,20.31,Short Signal
2025-03-22T02:07:09.462741,SHORT,LINC,1,14.99,Short Signal
2025-03-22T02:07:13.931195,SHORT,IONQ,1,22.26,Short Signal
2025-03-22T02:07:16.061755,SHORT,USNA,1,27.31,Short Signal
2025-03-22T02:07:19.405780,SHORT,SPOK,1,15.89,Short Signal
2025-03-22T02:07:20.497179,SHORT,TDC,1,22.9,Short Signal
2025-03-22T02:07:21.594073,SHORT,XNCR,2,13.2,Short Signal
2025-03-22T02:07:23.767419,SHORT,S,1,19.27,Short Signal
2025-03-22T02:07:28.014866,SHORT,ACVA,1,15.31,Short Signal
2025-03-22T02:07:33.432263,SHORT,MXCT,9,3.09,Short Signal
2025-03-22T02:07:37.723379,SHORT,AIRG,7,3.99,Short Signal
2025-03-22T02:07:38.808441,SHORT,NRDY,18,1.58,Short Signal
2025-03-22T02:07:40.981883,SHORT,SLRN,10,2.75,Short Signal
2025-03-22T02:07:43.141743,SHORT,EXFY,9,3.25,Short Signal
2025-03-22T02:07:46.364715,SHORT,VSTM,4,6.65,Short Signal
2025-03-22T02:07:49.743922,SHORT,OLP,1,26.24,Short Signal
2025-03-22T02:07:51.880605,SHORT,MCW,3,8.1,Short Signal
2025-03-22T02:07:52.966595,SHORT,RELY,1,20.33,Short Signal
2025-03-22T02:07:55.200160,SHORT,ESPR,17,1.69,Short Signal
2025-03-22T02:08:00.553351,SHORT,RSI,2,10.96,Short Signal
2025-03-22T02:08:02.779659,SHORT,SKYT,3,7.85,Short Signal
2025-03-22T02:08:03.970598,SHORT,HFWA,1,23.78,Short Signal
2025-03-22T02:08:11.601867,SHORT,ADPT,3,8.4,Short Signal
2025-03-22T02:08:12.702543,SHORT,PSTL,2,13.85,Short Signal
2025-03-22T02:08:14.852425,SHORT,SEAT,10,2.81,Short Signal
2025-03-22T02:08:17.067229,SHORT,ACIC,2,11.93,Short Signal
2025-03-22T02:08:22.582498,SHORT,SVCO,5,5.14,Short Signal
2025-03-22T02:08:24.746527,SHORT,CRCT,5,5.36,Short Signal
2025-03-22T02:08:25.834732,SHORT,GRND,1,17.34,Short Signal
2025-03-22T02:08:33.454546,SHORT,VTLE,1,22.11,Short Signal
2025-03-22T02:08:34.545631,SHORT,DYN,2,12.08,Short Signal
2025-03-22T02:08:38.936664,SHORT,PAY,1,27.29,Short Signal
2025-03-22T02:08:43.310257,SHORT,INDI,13,2.23,Short Signal
2025-03-22T02:08:46.007160,SHORT,SOFI,2,12.87,Short Signal
2025-03-22T02:08:48.192787,SHORT,ELVN,1,21.08,Short Signal
2025-03-22T02:08:49.868123,SHORT,ESRT,3,7.97,Short Signal
2025-03-22T02:08:50.999776,SHORT,ESI,1,25.23,Short Signal
2025-03-22T02:08:52.091621,SHORT,FOA,1,21.19,Short Signal
2025-03-22T02:08:54.267821,SHORT,EGHT,13,2.16,Short Signal
2025-03-22T02:08:56.507354,SHORT,TASK,2,13.38,Short Signal
2025-03-22T02:19:13.089851,SHORT,TEAM,76,227.34,Short Signal
2025-03-22T02:19:16.400901,SHORT,ALHC,1,17.61,Short Signal
2025-03-22T02:19:20.218921,SHORT,AVAH,1,5.29,Short Signal
2025-03-22T02:19:46.571669,SHORT,RRGB,1,4.12,Short Signal
2025-03-22T02:22:17.612088,SHORT,TEAM,8,227.34,Short Signal
2025-03-22T02:22:18.165983,SHORT,APP,5,314.03,Short Signal
2025-03-22T02:22:18.738837,SHORT,EQIX,2,834.59,Short Signal
2025-03-22T02:22:19.311656,SHORT,TDG,1,1346.12,Short Signal
2025-03-22T02:22:20.444076,SHORT,IRON,35,52.24,Short Signal
2025-03-22T02:22:20.996476,SHORT,ALHC,104,17.61,Short Signal
2025-03-22T02:22:21.572205,SHORT,INTU,3,604.04,Short Signal
2025-03-22T02:22:22.122539,SHORT,IOT,45,40.16,Short Signal
2025-03-22T02:22:22.674635,SHORT,RDDT,15,115.7,Short Signal
2025-03-22T02:22:23.228930,SHORT,SFM,12,142.39,Short Signal
2025-03-22T02:22:23.780417,SHORT,DUOL,5,309.3,Short Signal
2025-03-22T02:22:24.882460,SHORT,AVAH,348,5.29,Short Signal
2025-03-22T02:22:25.466496,SHORT,MGPI,62,29.55,Short Signal
2025-03-22T02:22:26.020287,SHORT,CWST,16,110.46,Short Signal
2025-03-22T02:22:27.127480,SHORT,NTRA,12,151.15,Short Signal
2025-03-22T02:22:27.721194,SHORT,TPL,1,1273.15,Short Signal
2025-03-22T02:22:28.277426,SHORT,ZS,8,205.2,Short Signal
2025-03-22T02:22:29.394134,SHORT,IDCC,8,217.35,Short Signal
2025-03-22T02:22:43.940794,SHORT,ISRG,3,492.49,Short Signal
2025-03-23T17:40:03.907306,SHORT,TEAM,12,227.34,Short Signal
2025-03-23T17:40:04.466309,SHORT,APP,9,314.03,Short Signal
2025-03-23T17:40:05.040773,SHORT,EQIX,3,834.59,Short Signal
2025-03-23T17:40:05.615532,SHORT,TDG,2,1346.12,Short Signal
2025-03-23T17:40:06.208701,SHORT,FICO,1,1853.29,Short Signal
2025-03-23T17:40:06.805901,SHORT,IRON,55,52.24,Short Signal
2025-03-23T17:40:07.368619,SHORT,ALHC,163,17.61,Short Signal
2025-03-23T17:40:07.586106,SELL,CRWD,4.7257,362.24,Stop-loss triggered
2025-03-23T17:40:07.949138,SHORT,INTU,4,604.04,Short Signal
2025-03-23T17:40:08.509844,SHORT,IOT,71,40.16,Short Signal
2025-03-23T17:40:08.655257,SELL,DAY,26.8034,58.5,Target hit
2025-03-23T17:40:09.075117,SHORT,RDDT,24,115.7,Short Signal
2025-03-23T17:40:09.641687,SHORT,SFM,20,142.39,Short Signal
2025-03-23T17:40:10.204899,SHORT,DUOL,9,309.3,Short Signal
2025-03-23T17:40:11.325393,SHORT,AVAH,543,5.29,Short Signal
2025-03-23T17:40:11.940847,SHORT,MGPI,97,29.55,Short Signal
2025-03-23T17:40:16.208633,SELL,IONQ,10.0,22.26,Target hit
2025-03-23T17:40:24.641413,SELL,WANT,189.2623,35.0,Target hit
2025-03-23T18:47:21.010184,SHORT,TEAM,2,227.34,Short Signal
2025-03-23T18:47:21.556554,BUY,SRBK,80.7248,11.79,New Signal
2025-03-23T18:47:21.572999,SHORT,APP,2,314.03,Short Signal
2025-03-23T18:47:23.689372,BUY,TREE,18.4161,51.68,New Signal
2025-03-23T18:47:23.821271,SHORT,IRON,12,52.24,Short Signal
2025-03-23T18:47:24.377936,SHORT,ALHC,36,17.61,Short Signal
2025-03-23T18:47:24.784014,BUY,EONR,1545.0409,0.616,New Signal
2025-03-23T18:47:24.965452,SHORT,INTU,1,604.04,Short Signal
2025-03-23T18:47:25.531436,SHORT,IOT,15,40.16,Short Signal
2025-03-23T18:47:25.893231,BUY,CULP,177.2337,5.37,New Signal
2025-03-23T18:47:26.094376,SHORT,RDDT,5,115.7,Short Signal
2025-03-23T18:47:26.659009,SHORT,SFM,4,142.39,Short Signal
2025-03-23T18:47:26.991553,BUY,CUBA,353.8086,2.69,New Signal
2025-03-23T18:47:27.218377,SHORT,DUOL,2,309.3,Short Signal
2025-03-23T18:47:28.925891,SHORT,MGPI,21,29.55,Short Signal
2025-03-23T19:29:23.683477,BUY,SRBK,3.0039,11.79,New Signal
2025-03-23T19:29:25.813067,BUY,TREE,0.6853,51.68,New Signal
2025-03-23T19:29:26.524935,SHORT,ALHC,1,17.61,Short Signal
2025-03-23T19:29:26.882110,BUY,EONR,57.4938,0.616,New Signal
2025-03-23T19:29:27.978379,BUY,CULP,6.5952,5.37,New Signal
2025-03-23T19:29:29.080281,BUY,CUBA,13.1659,2.69,New Signal
2025-03-23T19:29:30.357108,SHORT,AVAH,4,5.29,Short Signal
2025-03-23T19:29:31.254863,BUY,FCNCA,0.0191,1851.2,New Signal
2025-03-23T19:29:32.348521,BUY,WEST,5.1402,6.89,New Signal
2025-03-23T19:29:34.485417,BUY,ECAT,2.1821,16.23,New Signal
2025-03-23T19:29:35.623043,BUY,NL,4.6296,7.65,New Signal
2025-03-23T19:29:36.722294,BUY,KRO,4.5935,7.71,New Signal
2025-03-23T21:13:23.799908,SHORT,TEAM,8,227.34,Short Signal
2025-03-23T21:13:24.372015,SHORT,APP,6,314.03,Short Signal
2025-03-23T21:13:24.988591,SHORT,EQIX,2,834.59,Short Signal
2025-03-23T21:13:25.484390,BUY,VG,258.3979,11.61,New Signal
2025-03-23T21:13:25.572695,SHORT,TDG,1,1346.12,Short Signal
2025-03-23T21:13:26.164070,SHORT,FICO,1,1853.29,Short Signal
2025-03-23T21:13:26.615084,BUY,NL,392.1569,7.65,New Signal
2025-03-23T21:13:26.723996,SHORT,IRON,38,52.24,Short Signal
2025-03-23T21:13:27.282356,SHORT,ALHC,113,17.61,Short Signal
2025-03-23T21:13:27.683025,BUY,WEST,435.4137,6.89,New Signal
2025-03-23T21:13:27.857139,SHORT,INTU,3,604.04,Short Signal
2025-03-23T21:13:28.425098,SHORT,IOT,49,40.16,Short Signal
2025-03-23T21:13:28.837091,BUY,PSEC,710.9005,4.22,New Signal
2025-03-23T21:13:28.983701,SHORT,RDDT,17,115.7,Short Signal
2025-03-23T21:13:29.544233,SHORT,SFM,14,142.39,Short Signal
2025-03-23T21:13:29.949236,BUY,CULP,558.6592,5.37,New Signal
2025-03-23T21:13:30.104267,SHORT,DUOL,6,309.3,Short Signal
2025-03-23T21:13:31.221587,SHORT,AVAH,378,5.29,Short Signal
2025-03-23T21:31:10.434119,BUY,RCG,543.4783,2.3,New Signal
2025-03-23T21:31:11.509271,BUY,VG,107.6658,11.61,New Signal
2025-03-23T21:31:12.653069,BUY,NL,163.3987,7.65,New Signal
2025-03-23T21:31:13.718583,BUY,WEST,181.4224,6.89,New Signal
2025-03-23T21:31:14.811881,BUY,PSEC,296.2085,4.22,New Signal
2025-03-23T21:31:15.931068,BUY,CULP,232.7747,5.37,New Signal
2025-03-23T21:31:16.998299,BUY,EONR,2029.2208,0.616,New Signal
2025-03-23T21:31:19.130093,BUY,TTSH,192.0123,6.51,New Signal
2025-03-23T21:31:20.205448,BUY,ECAT,77.0179,16.23,New Signal
2025-03-23T21:31:22.363100,BUY,KRO,162.1271,7.71,New Signal
2025-03-23T21:31:23.431520,BUY,TREE,24.1873,51.68,New Signal
2025-03-23T21:31:24.503846,BUY,MCVT,694.4445,1.8,New Signal
2025-03-23T21:31:25.632185,BUY,FCNCA,0.6752,1851.2,New Signal
2025-03-24T00:47:07.434001,BUY,TREE,24.1873,51.68,New Signal
2025-03-24T00:47:08.567977,BUY,CUBA,464.684,2.69,New Signal
2025-03-24T00:47:10.734280,BUY,PSEC,296.2085,4.22,New Signal
2025-03-24T00:47:11.799794,BUY,EONR,2029.2208,0.616,New Signal
2025-03-24T00:47:12.867747,BUY,VG,107.6658,11.61,New Signal
2025-03-24T00:47:13.954741,BUY,KRO,162.1271,7.71,New Signal
2025-03-24T00:47:15.057621,BUY,RCG,543.4783,2.3,New Signal
2025-03-24T00:47:16.162541,BUY,CULP,232.7747,5.37,New Signal
2025-03-24T00:47:17.296934,BUY,FCNCA,0.6752,1851.2,New Signal
2025-03-24T00:47:19.428199,BUY,MCVT,694.4445,1.8,New Signal
2025-03-24T00:47:20.512691,BUY,ECAT,77.0179,16.23,New Signal
2025-03-24T00:47:21.576217,BUY,SRBK,106.0221,11.79,New Signal
2025-03-24T00:47:22.643097,BUY,WEST,181.4224,6.89,New Signal
2025-03-24T01:22:30.306834,SHORT,TEAM,8,227.34,Short Signal
2025-03-24T01:22:30.742385,BUY,TREE,24.1873,51.68,New Signal
2025-03-24T01:22:30.867181,SHORT,APP,6,314.03,Short Signal
2025-03-24T01:22:31.434382,SHORT,EQIX,2,834.59,Short Signal
2025-03-24T01:22:31.831536,BUY,CUBA,464.684,2.69,New Signal
2025-03-24T01:22:32.018695,SHORT,TDG,1,1346.12,Short Signal
2025-03-24T01:22:32.616646,SHORT,FICO,1,1853.29,Short Signal
2025-03-24T01:22:33.174649,SHORT,IRON,38,52.24,Short Signal
2025-03-24T01:22:33.741158,SHORT,ALHC,113,17.61,Short Signal
2025-03-24T01:22:33.977765,BUY,PSEC,296.2085,4.22,New Signal
2025-03-24T01:22:34.326056,SHORT,INTU,3,604.04,Short Signal
2025-03-24T01:22:34.888433,SHORT,IOT,49,40.16,Short Signal
2025-03-24T01:22:35.047824,BUY,EONR,2029.2208,0.616,New Signal
2025-03-24T01:22:35.448391,SHORT,RDDT,17,115.7,Short Signal
2025-03-24T01:22:36.010010,SHORT,SFM,14,142.39,Short Signal
2025-03-24T01:22:36.136913,BUY,VG,107.6658,11.61,New Signal
2025-03-24T01:22:36.569167,SHORT,DUOL,6,309.3,Short Signal
2025-03-24T01:22:37.226742,BUY,KRO,162.1271,7.71,New Signal
2025-03-24T01:22:37.677566,SHORT,AVAH,378,5.29,Short Signal
2025-03-24T01:22:38.295421,SHORT,MGPI,67,29.55,Short Signal
